Year,"AAF use [EJ] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","AAF use [EJ] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","AAF use [EJ] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","AAF use [EJ] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","AAF use [EJ] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","AAF use [EJ] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","AAF use [EJ] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","AAF use [EJ] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","AAF use [EJ] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","Fossil kerosene use [EJ] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","Fossil kerosene use [EJ] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","Fossil kerosene use [EJ] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","Fossil kerosene use [EJ] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","Fossil kerosene use [EJ] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","Fossil kerosene use [EJ] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","Fossil kerosene use [EJ] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","Fossil kerosene use [EJ] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","Fossil kerosene use [EJ] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","H2 production [EJ] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","H2 production [EJ] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","H2 production [EJ] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","H2 production [EJ] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","H2 production [EJ] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","H2 production [EJ] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","H2 production [EJ] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","H2 production [EJ] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","H2 production [EJ] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC"
2044,0.8271632709070345,0.8213949146904038,0.0010237169194393988,0.35275331189515324,0.3682126320215834,0.00043657588105835797,0.5817282472098003,0.5946159940204687,0.0007199607019923271,1.2202705679717634,1.2117608147412886,2.0464101219593585,0.5203984502215627,0.5432047739724348,0.8727151862356576,0.8581931567748539,0.8772057733569291,1.439201443282662,1.3283414967496066,1.1601875561897417,0.0023780944038577236,0.5664865435724267,0.4568400038758319,0.0010141657716985653,0.9341973921942184,0.8116499904438441,0.0016724687107281752
2045,0.8635451097618629,0.8569195669582278,0.0010280298925736465,0.3634927047214386,0.3812026391256229,0.000432729410382665,0.6024893092095186,0.6172556264300798,0.0007172491776303793,1.1925146753854299,1.1833651162756478,2.055031755254719,0.5019661160438914,0.5264226921258603,0.8650260913549472,0.83200904605124,0.8524006269748722,1.4337811060831283,1.3867670917665755,1.2005776714641005,0.0023881134404485807,0.5837329345121584,0.4639922781306158,0.0010052304203189307,0.9675375816595659,0.8333795011204197,0.001666169839635371
2046,0.9830468439056932,0.9748205682796887,0.0010326122309933753,0.40829655860103725,0.4302246300982594,0.0004288829397069719,0.680261543783793,0.698548471238862,0.000714560445151043,1.0821776180810574,1.0731218020557918,2.0641918497557574,0.44946932081290647,0.47360862641068896,0.8573369964742369,0.7488593465182932,0.7689903338847976,1.4284063298569352,1.5786749266281526,1.373144713430535,0.002398758212597611,0.6556834434574056,0.5290083152799794,0.0009962950689392956,1.0924320131623932,0.9492890608697979,0.0016599239140858723
2047,1.095378468005484,1.0850261545376436,0.0010294910413585377,0.4551150544976496,0.4802012676013977,0.00042773971287373075,0.756124957742537,0.778540261286065,0.0007106437572768204,0.9636036147115912,0.9544966923376261,2.0579525916757166,0.400364371249812,0.4224326940553649,0.855051686034588,0.6651625568111038,0.6848812824847338,1.420576870796364,1.7590682817700065,1.5258960342737993,0.0023915076890758825,0.7308692660177755,0.6054453171187515,0.0009936393530056767,1.21426106963874,1.0610612178511294,0.0016508254481540539
2048,1.2073392256861624,1.1946109423046352,0.0010266490014338118,0.5006405892953991,0.5295217844322577,0.0004257147868158157,0.8311381594753711,0.8580995208571174,0.0007067501356083087,0.8459587771814608,0.8370403201182142,2.0522713538661894,0.35078898433623207,0.3710254680035548,0.8510038588448154,0.5823621117412463,0.6012534057706335,1.412793521081009,1.9388660625294076,1.6775351214404224,0.002384905630330745,0.8039787223494814,0.6777502821319122,0.0009889354497731398,1.3347247703014984,1.1721274952839458,0.0016417805650181007
2049,1.319029383057205,1.3036733370429514,0.0010240911359139793,0.5468481692575557,0.5791800846838555,0.00042457155998257447,0.9053090774830517,0.9372346101404945,0.000702879718542742,0.7291528887707535,0.7206641428374082,2.0471581806920445,0.3022949507075931,0.3201678728997711,0.8487185484051665,0.5004503596024324,0.5180986354192797,1.4050565573669413,2.1182292862515655,1.8282179289814515,0.0023789637087281734,0.8781834750107091,0.7536760661784353,0.0009862797338395207,1.4538358475300328,1.282501251121779,0.0016327895861747899
2050,1.4018720606097894,1.3823092223054685,0.0010013371861498496,0.5916916157860792,0.6285525928783349,0.000422636868418628,0.9689498938617767,1.0061176631193618,0.0006921070670441262,0.6008023116899098,0.5924182381309153,2.0016730351135497,0.25358212105117683,0.2693796826621435,0.8448510999688374,0.4152642402264758,0.4311932841940122,1.383522027021208,2.2512663421332606,1.9209997453943597,0.0023261062834261,0.9501975657908648,0.8262347008804592,0.0009817854453364728,1.5560366345526273,1.3697326398832732,0.0016077647167435048
2051,1.4389408036919336,1.4159713533150882,0.0009855758929396803,0.612046702892717,0.6536514042406756,0.00041921007047446377,0.9983648894075801,1.0392923097511875,0.0006838115680873838,0.5322109821874275,0.5237154320480465,1.9701662099864214,0.2263734380562104,0.24176147828079786,0.8380009308784532,0.3692582467671872,0.3843957857983845,1.3669393246066799,2.310795036648876,1.9463371976241928,0.0022894927992988773,0.9828858001754144,0.8545885244306963,0.0009738249937121795,1.6032741758996327,1.403278037701343,0.0015884942726669925
2052,1.4774745612282747,1.4510076234011298,0.0009720227376501809,0.6342585759439864,0.679437872363527,0.00041727537891051727,1.0244141450776463,1.0695530622059333,0.0006739566743931885,0.4665709140720868,0.45821293370561994,1.9430734525627116,0.2002921818770483,0.21455932811479797,0.834133482442124,0.3234992037087304,0.33775359859134724,1.3472393921119836,2.372676397876486,1.9751756549598496,0.0022580088195613694,1.0185558471084477,0.8892703373816931,0.0009693307052091315,1.645106675580192,1.429769200025985,0.0015656013546153768
2053,1.5144937496964581,1.4843020886050655,0.0009585403479091505,0.6538807579268379,0.7042674678928631,0.000413848580966353,1.0492958690659646,1.098849614354781,0.0006641113095354205,0.40258694612184315,0.3945613146924858,1.9161221554703918,0.17381640400586823,0.1872103395664572,0.8272833133517399,0.2789267500048766,0.29209926457532154,1.3275585077613057,2.432125512637542,2.0009513628535833,0.002226689228192956,1.0500671091547091,0.917191827225708,0.000961370253584838,1.6850642361330321,1.4546816572089296,0.001542730572050782
