Year,"breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - gen. 3 (H2)","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - gen. 3","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - gen. 2 (H2)","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - gen. 2","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - gen. 1","breakthrough AC technology with high growth, no ReFuelEU, no H2 AC - gen. 0","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - gen. 3 (H2)","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - gen. 3","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - gen. 2 (H2)","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - gen. 2","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - gen. 1","breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC - gen. 0","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - gen. 3 (H2)","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - gen. 3","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - gen. 2 (H2)","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - gen. 2","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - gen. 1","optimistic AC technology with low growth, no ReFuelEU, no H2 AC - gen. 0","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - gen. 3 (H2)","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - gen. 3","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - gen. 2 (H2)","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - gen. 2","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - gen. 1","optimistic AC technology with low growth, ReFuelEU extended, no H2 AC - gen. 0","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - gen. 3 (H2)","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - gen. 3","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - gen. 2 (H2)","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - gen. 2","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - gen. 1","business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC - gen. 0","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - gen. 3 (H2)","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - gen. 3","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - gen. 2 (H2)","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - gen. 2","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - gen. 1","business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC - gen. 0"
2054,0.0,1764.5939836971927,0.0,4056.0599414936764,461.0481062788086,0.0,1266.6887020035626,497.9052816936302,2092.6889343607627,1963.3710071329137,461.0481062788086,0.0,0.0,891.3601511276418,0.0,2521.1287925086085,316.6741661067892,0.0,639.5427491964481,251.8174019311936,1301.5043008810164,1219.624491627592,316.6741661067892,0.0,0.0,279.3324498922414,0.0,1715.6952094365768,105.73081289340445,0.0,199.99383933295547,79.33861055928597,886.2892939814815,829.405915455095,105.73081289340445,0.0
2055,0.0,2107.5013814951635,0.0,4056.0599414936764,231.21134504729224,0.0,1512.8355232520626,594.6658582431012,2092.6889343607627,1963.3710071329133,231.21134504729224,0.0,0.0,1072.0133653000557,0.0,2521.128792508609,158.39593059283385,0.0,769.1616395534529,302.8517257466028,1301.5043008810164,1219.624491627592,158.39593059283385,0.0,0.0,317.19243868021357,0.0,1715.6952094365765,67.8708241054323,0.0,227.05902069161004,90.13341798860347,886.2892939814815,829.4059154550949,67.8708241054323,0.0
2056,0.0,2453.8186345671065,0.0,4056.059941493676,0.0,0.0,1761.4315520228315,692.387082544275,2092.6889343607622,1963.3710071329133,0.0,0.0,0.0,1252.918524423298,0.0,2521.1287925086085,0.0,0.0,898.9614952063977,353.95702921690065,1301.5043008810164,1219.624491627592,0.0,0.0,0.0,385.0632627856458,0.0,1715.6952094365765,0.0,0.0,275.68017956349206,109.38308322215374,886.2892939814815,829.405915455095,0.0,0.0
2057,0.0,2803.607120307952,0.0,3823.449270121925,0.0,0.0,2012.5208740512694,791.0862462566824,1973.2078971947954,1850.2413729271293,0.0,0.0,0.0,1434.0771401670754,0.0,2362.614460666423,0.0,0.0,1028.9434019470586,405.13373822001665,1220.1673879334446,1142.447072732979,0.0,0.0,0.0,512.9557575259988,0.0,1587.8027146962236,0.0,0.0,367.4132934618292,145.54246406416974,820.7047146636432,767.0980000325802,0.0,0.0
2058,0.0,3156.9293209057423,0.0,3589.4140845518723,0.0,0.0,2266.1483686160163,890.780952289726,1852.9928282731055,1736.4212562787666,0.0,0.0,0.0,1615.4907332711086,0.0,2203.9810171673903,0.0,0.0,1159.1084520819613,456.3822811891474,1138.7690984557494,1065.2119187116411,0.0,0.0,0.0,640.8482522663519,0.0,1459.9102199558702,0.0,0.0,459.1464073601664,181.70184490618564,755.120135345805,704.7900846100654,0.0,0.0
2059,0.0,3513.8488432278996,0.0,3353.9287435279516,0.0,0.0,2522.3597228227236,991.4891204051762,1732.0305150240913,1621.898228503861,0.0,0.0,0.0,1797.1608335995604,0.0,2045.22774734157,0.0,0.0,1289.4577444714716,507.7030891280888,1057.3090641887509,987.9186831528191,0.0,0.0,0.0,768.7407470067051,0.0,1332.0177252155172,0.0,0.0,550.8795212585035,217.86122574820155,689.5355560279667,642.4821691875505,0.0,0.0
2060,0.0,3873.724668448789,0.0,3117.672914868668,0.0,0.0,2780.842272423607,1092.882396025182,1610.3075070498599,1507.3654078188083,0.0,0.0,0.0,1978.4513102526407,0.0,1886.9916021741365,0.0,0.0,1419.6678679612396,558.783442291401,975.7869146637124,911.2046875104239,0.0,0.0,0.0,896.0450995664951,0.0,1204.7133726557274,0.0,0.0,642.3133237223904,253.73177584410467,623.9509767101284,580.7623959455989,0.0,0.0
2061,0.0,4243.731647082767,0.0,2873.5110927344035,0.0,0.0,3046.8600119195735,1196.8716351631933,1483.8750370862872,1389.6360556481163,0.0,0.0,0.0,2165.7866950051607,0.0,1722.8488748961772,0.0,0.0,1554.4532217362273,611.3334732689334,890.6469026260662,832.2019722701109,0.0,0.0,0.0,1028.6854209382886,0.0,1072.0730512839334,0.0,0.0,737.7950212991833,290.89039963910545,555.0871684263982,516.9858828575352,0.0,0.0
2062,0.0,4617.533720390527,0.0,2627.819388743353,0.0,0.0,3315.60366605881,1301.9300543317172,1356.6542409222989,1271.1651478210542,0.0,0.0,0.0,2353.383231870324,0.0,1558.5841514504223,0.0,0.0,1689.4261540643652,663.9570778059589,805.4440277111348,753.1401237392872,0.0,0.0,0.0,1161.3257423100827,0.0,939.4327299121396,0.0,0.0,833.2767188759764,328.04902343410623,486.22336014266807,453.20936976947144,0.0,0.0
2063,0.0,4995.199200076197,0.0,2380.5702650220937,0.0,0.0,3587.122301304894,1408.0768987713022,1228.630928686287,1151.939336335807,0.0,0.0,0.0,2541.242487760807,0.0,1394.1966998598632,0.0,0.0,1824.587790416972,716.654697343835,720.1779127416543,674.018787118209,0.0,0.0,0.0,1293.9660636818762,0.0,806.7924085403457,0.0,0.0,928.7584164527693,365.207647229107,417.3595518589379,389.43285668140777,0.0,0.0
