Year,Target CO2 emissions [kg],Target CO2 dT [K],"CO2 emissions [kg] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","Temperature change [K] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","Temperature change [K] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","Temperature change [K] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","Temperature change [K] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","Temperature change [K] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","Temperature change [K] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","Temperature change [K] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","Temperature change [K] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","Temperature change [K] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","Temperature change from CO2 emissions [K] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","Temperature change from CO2 emissions [K] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","Temperature change from CO2 emissions [K] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","Temperature change from CO2 emissions [K] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","Temperature change from CO2 emissions [K] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","Temperature change from CO2 emissions [K] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","Temperature change from CO2 emissions [K] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","Temperature change from CO2 emissions [K] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","Temperature change from CO2 emissions [K] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC"
2044,51000000000.0,0.0010327499999999998,136918347371.51054,132114471013.77292,189397968847.66168,52288775932.8615,52943547582.67011,73097722186.00311,91239127644.07138,90134597608.6059,127158970860.5432,0.009309426551048132,0.00876747479514098,0.011150176288685887,0.0032727177580175295,0.0030624121550524184,0.0039453452446824785,0.005965198735001749,0.0056892208135491075,0.007152981429684667,0.0014909899160473708,0.0014754812691521668,0.001640147451748107,0.0008422259316385131,0.0008414551732281368,0.0009055934646112093,0.0011585541974455241,0.0011531616461127325,0.0012645414045187142
2045,42500000000.0,0.0010518749999999996,138908841850.74124,133861435859.34425,190897727462.40164,54003440812.013565,51595007387.655556,72273142823.47104,92499747102.02098,90597353265.79565,126641056708.333,0.009405398975508284,0.008826778373418939,0.011393366616334891,0.003289306756266271,0.0030612137913498608,0.004000021089057705,0.005967775776733705,0.00567527778301352,0.007232670334014723,0.0015534988948802046,0.0015357189152888718,0.0017260514291061878,0.0008665274800039192,0.0008646729265525818,0.0009381163788817712,0.0012001790836414334,0.0011939304550823405,0.001321529880037464
2046,34000000000.0,0.0010671749999999996,138477569314.5567,133177917825.33978,192583783133.8423,51334550553.48822,47466631912.11628,71521698894.18573,90358727938.3216,89261517068.71675,126247910545.56494,0.009267038779604126,0.008685903231424178,0.011645897289617558,0.0032187869383262764,0.002994340206226173,0.004050953138833114,0.005821769398562454,0.00553332350700531,0.007313529602777171,0.0016158138010717552,0.0015956489783102744,0.0018127141315164167,0.0008896280277529889,0.000886032910913034,0.0009703011433841548,0.0012408405112136782,0.0012340981377632631,0.0013783414397829682
2047,25500000000.0,0.0010786499999999996,127303580622.67662,120280076511.25432,192005589481.5647,47515817019.051025,46582996625.80417,71007238847.77596,83586132145.22278,82278610609.68282,125691900709.15767,0.009030765523299074,0.008398851680428065,0.011818923190140395,0.003157335354158305,0.0029546041654568856,0.004113729723093425,0.005662259611673681,0.005370494805577171,0.0073869110966372645,0.0016731004123519595,0.001649775012740339,0.001899116646783121,0.0009110101454115618,0.000906995259394646,0.001002254400865654,0.0012784542706790285,0.0012711235125376203,0.0014349027951020893
2048,17000000000.0,0.0010862999999999997,118136400210.08626,111247016500.648,191608036603.33023,43669208884.65944,43698369450.786285,70757500978.81177,76772395334.37526,75292689847.01149,124965602936.88223,0.008817603248059807,0.008156530572262873,0.012031627057829732,0.0030915726719837992,0.0029028400000983487,0.004172556892734771,0.005496420464850292,0.005195753928221322,0.007457005164163016,0.0017262617924464984,0.0016998361701656306,0.0019853402632546194,0.0009306612894096584,0.0009266595256474998,0.0010340952763061193,0.0013130018485794973,0.0013050052229687755,0.001491137316423686
2049,8500000000.0,0.0010901249999999997,108804287322.07568,101872945080.83525,191832373089.00024,39792659553.0776,39702887745.86241,70507946961.96506,70144575021.58124,68737880804.4403,124381465569.25401,0.008612652720291368,0.007929535676046772,0.012264913992123138,0.0030229420946393214,0.0028413371978299505,0.004227434610532613,0.005337886602930191,0.005030315030704252,0.0075353626907947455,0.0017752237217414323,0.0017456789954520065,0.00207166483114467,0.0009485679862085434,0.0009445258251331379,0.0010658238524390035,0.001344566907339209,0.0013359372693307738,0.0015471089759298503
2050,0.0,0.0010901249999999997,94878492860.8338,86926193179.67073,188674742008.9104,35697292150.167786,35377369865.34458,70104396847.22685,61689815791.08965,59502984227.2979,122544409069.43845,0.008310855697705238,0.007548058964173907,0.012409612969360283,0.002948455964630861,0.0027624727010113013,0.004274181788584657,0.005142551936965806,0.004790877027988733,0.0075751626437240635,0.0018179190435288076,0.0017847957823828582,0.0021565684650486795,0.000964631767676119,0.000960445641572543,0.0010973708310202557,0.0013723273244451992,0.0013627136122330579,0.0016022539600110976
2051,0.0,0.0010901249999999997,86916650992.41412,78987637787.58725,186136286173.46906,33593675879.808807,33110272453.6229,69700511810.27522,56909404987.466225,54593590096.4502,120873201058.9163,0.008186458003100121,0.007350716316353734,0.012583157309630062,0.002921682474664478,0.002731378533365674,0.004317042917792712,0.0050475921786714804,0.004658190068465883,0.007622598252420119,0.001857031536475394,0.0018203402193872724,0.0022403297938267406,0.0009797489218220329,0.0009753452641766733,0.0011287360613348794,0.001397936556689559,0.0013872807277764605,0.00165664690048761
2052,0.0,0.0010901249999999997,79707705174.66953,71443480608.8512,183455657367.36264,30811238192.386406,30283364327.088455,69296968722.35457,52552839022.716736,50232660249.02176,119453243519.02531,0.008054542588386655,0.007148356737663999,0.012755713898062529,0.0028914142634785703,0.002696350271650169,0.004356018060471157,0.004959982101352706,0.004539759807825251,0.007677744656785638,0.0018929000038039954,0.0018524897856612554,0.0023228848396420537,0.000993613979008607,0.0009889727781238632,0.001159919697259939,0.0014215853342497817,0.0014098854248885205,0.0017104008600711713
2053,0.0,0.0010901249999999997,73275711948.2644,64938735431.53657,181088246854.24017,28061185612.313805,27477429205.695156,68893767583.46489,47856350303.587944,45299730031.34206,117883630535.71976,0.007934520666378444,0.00696880548344441,0.012946735830236972,0.0028577812267654764,0.0026577016358260742,0.004391107278934374,0.004866359999604719,0.004411976482380918,0.007726578737062048,0.0019258740741807145,0.001881712216605447,0.0024043745507264618,0.001006241512534148,0.0010013376212664258,0.0011909218926724982,0.001443120691886396,0.0014302703034026242,0.0017634484938122451
