Year,Target CO2 emissions [kg],Target CO2 RF [mW/m^2],"CO2 RF [mW/m^2] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","CO2 RF [mW/m^2] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","CO2 RF [mW/m^2] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","CO2 RF [mW/m^2] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","CO2 RF [mW/m^2] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","CO2 RF [mW/m^2] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","CO2 RF [mW/m^2] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","CO2 RF [mW/m^2] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","CO2 RF [mW/m^2] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","Total RF [mW/m^2] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","Total RF [mW/m^2] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","Total RF [mW/m^2] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","Total RF [mW/m^2] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","Total RF [mW/m^2] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","Total RF [mW/m^2] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","Total RF [mW/m^2] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","Total RF [mW/m^2] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","Total RF [mW/m^2] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC"
2044,51000000000.0,2.753757163494577,3.89210335666788,3.8458507193951306,4.341647369882143,2.105449760837188,2.101151572714971,2.309524091970305,2.9959236808418366,2.9805474049698004,3.3240059839732323,123820144719.92651,119341910848.83557,171799150768.4785,52474819810.55385,52916556286.94332,73343580195.27715,86623403627.70483,85624448506.61774,120808339088.36952,14.34540406134986,13.919717070563475,17.616650872616628,6.366772704636108,6.316350770158352,7.701302001582663,10.058701168985184,9.930545904487854,12.275498809207535
2045,42500000000.0,2.767421942319735,4.01237553370012,3.9600376752134823,4.522163877007383,2.1518863557948236,2.143752725890807,2.379078790073608,3.0762975821399277,3.058166075621811,3.4454033710157024,125476834348.3202,120779970778.9962,172317579576.47418,53871301267.15203,51587766859.437515,72598083071.5559,87784799119.0711,85836189395.83,120190739580.17023,14.490774394080066,14.044988308997333,18.028402233941424,6.350805201038636,6.297029883746153,7.76986762033952,10.077364897152417,9.947836936299652,12.449748799577671
2046,34000000000.0,2.7698830387743794,4.130164675679252,4.071531293616616,4.702050305844505,2.1946806364429583,2.182232915375652,2.4473015528762723,3.1531579181978744,3.1339331057470377,3.565148241216236,124131745298.84225,119208979039.28644,173013147033.22113,51552927938.02641,48845158141.880035,71924909087.47096,85596447894.67744,84560243246.41547,119691048704.1771,14.248400602052135,13.842894931778604,18.442754956855342,6.183309636001247,6.162648066966455,7.836715896022703,9.841366498404298,9.748416358697872,12.621917003104219
2047,25500000000.0,2.7613491316133967,4.232089754762038,4.1659606420157695,4.879662748316573,2.2313839909901585,2.21967951523866,2.514565915535687,3.2193702544446037,3.198752518864369,3.683050816736017,114890775274.14871,109159671472.07898,172722998826.85507,47717096611.81854,47850442935.39728,71465438283.93803,79155944989.10043,77943711246.8656,119057280837.8691,13.965307316733433,13.589054115013615,18.85370121996164,6.00966199885379,6.025416627929748,7.903745141987479,9.587251070983644,9.524272894897425,12.79117195285745
2048,17000000000.0,2.742007687528155,4.31967024156066,4.245899299771002,5.054702944581312,2.2620815452591128,2.2505863422720487,2.581148457883868,3.2754661124262143,3.2533453907156678,3.7990484827822733,106047573923.26273,100094497046.9591,172179938402.32196,43775040392.7727,43654520556.673195,71174593076.30981,72724736666.45523,71435967078.31451,118357281693.58302,13.653657408630144,13.309045174051658,19.264631590045504,5.8310787934527095,5.868162353351591,7.96962016861494,9.320867838786844,9.281756793854337,12.958057580161332
2049,8500000000.0,2.7120289060310467,4.393121650123441,4.311619196770626,5.22738382503659,2.287290971506657,2.2760233020411986,2.6470163885492273,3.321697288820997,3.2979350739882225,3.9132009916000805,96947254449.64694,90812996286.47337,171681656253.62537,40001866437.9081,39924817679.49691,70877050008.78685,66191713122.32777,64805896829.32441,117661692805.34871,13.320737508669916,13.007449832991687,19.676290687936287,5.6513343572937895,5.698877919972759,8.035069180426456,9.046869961056633,9.024903873288588,13.12274779801098
2050,0.0,2.6715688323826168,4.445948159931237,4.355227993485699,5.3922079041281155,2.3065898935851203,2.295141528578724,2.7120606612295255,3.356138513341471,3.3296762119883936,4.023590113067202,83681909083.03038,76551153232.35121,167875700524.3002,35875976512.096596,35586655562.01156,70522891085.62248,58308672145.00864,56278902510.25685,115807196939.65094,12.953860322231561,12.647730255176558,20.071767897222184,5.4712206908799965,5.5229387324808155,8.09917727479992,8.76293452710734,8.748169135877408,13.279439450167416
2051,0.0,2.6351849275245343,4.490172822950626,4.390875126066156,5.551240500971824,2.323062010362793,2.310813528092928,2.7759844518444887,3.385211899439625,3.356099269446376,4.13096420841431,76969662680.56656,70052228515.2795,165026293085.7059,33458875913.1437,32813618599.813835,69994435133.8562,53949113767.781715,51891603675.12588,114296811833.14908,12.826013284260835,12.519432701172688,20.46633000580292,5.380313000276823,5.4361492455044305,8.161143323248561,8.632125804337967,8.621151711498372,13.433435744704465
2052,0.0,2.6021174465775827,4.527150969224838,4.4194019183776945,5.705553696657763,2.336474605863042,2.323722744113034,2.8389762128994294,3.4085170906299735,3.376431577867726,4.2351963353423105,71018422811.47763,64050117949.44166,162653188868.43927,30917400356.278687,30432229539.884167,69565075022.98528,49351329051.408066,47054347212.181496,112651164351.50941,12.689137664261255,12.389144999443122,20.86030999406763,5.288880503906418,5.345233375749087,8.222680681092035,8.495671631210929,8.488653075164363,13.583023460116696
2053,0.0,2.571766936641152,4.556653926516173,4.440437564210466,5.855422688352325,2.346006595423826,2.3323575564396704,2.9008780307241206,3.4264837055413873,3.391313189008946,4.33631330322364,64937823778.80904,57849592534.12292,160341293366.00385,27890103203.190163,27170163868.311607,69037227746.6045,44983029363.777245,42563711934.18555,110960803619.19615,12.543211434486711,12.254783261904635,21.253154063636327,5.194972381824104,5.25244819522895,8.282232511498217,8.35545680635046,8.352772157191763,13.728945651139872
