Year,"Fuel CO2 intensity [g MJ-1] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","Fuel CO2 intensity [g MJ-1] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","Fuel CO2 intensity [g MJ-1] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","Fuel CO2 intensity [g MJ-1] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","Fuel CO2 intensity [g MJ-1] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","Fuel CO2 intensity [g MJ-1] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","Fuel CO2 intensity [g MJ-1] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","Fuel CO2 intensity [g MJ-1] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","Fuel CO2 intensity [g MJ-1] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","RPK CO2 intensity [g RPK-1] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","RPK CO2 intensity [g RPK-1] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","RPK CO2 intensity [g RPK-1] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","RPK CO2 intensity [g RPK-1] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","RPK CO2 intensity [g RPK-1] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","RPK CO2 intensity [g RPK-1] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","RPK CO2 intensity [g RPK-1] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","RPK CO2 intensity [g RPK-1] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","RPK CO2 intensity [g RPK-1] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","RPK fuel intensity [MJ RPK-1] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","RPK fuel intensity [MJ RPK-1] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","RPK fuel intensity [MJ RPK-1] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","RPK fuel intensity [MJ RPK-1] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","RPK fuel intensity [MJ RPK-1] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","RPK fuel intensity [MJ RPK-1] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","RPK fuel intensity [MJ RPK-1] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","RPK fuel intensity [MJ RPK-1] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","RPK fuel intensity [MJ RPK-1] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC"
2052,35.886975053235886,32.678762677502476,83.24073481292672,36.936622219084704,33.81060086433593,83.24066439142268,36.45408419450749,33.338280477816056,83.24066421635371,24.639080507263483,22.084460549743838,56.70943231249705,31.13888150356694,30.605394285763257,70.03386505041503,28.52514234316342,27.265773087153732,64.83799615963379,0.6772503802862341,0.6648945908590035,0.6772503802862341,0.8399911049252616,0.9016599617772011,0.8399911049252616,0.7761382387751931,0.8104470622896089,0.7761382387751933
2053,33.380030380027065,30.110892321042936,83.20243381523152,33.809625110344655,30.722042335616912,83.20233070659513,33.578715091190865,30.312427231182877,83.20233053831997,22.163244717492013,19.641611753015578,54.77262552325418,28.35958516744567,27.76962115953579,69.62637631505187,25.79536882470833,24.41730797282668,63.54123765757703,0.6545123991894862,0.641141330791022,0.6545123991894862,0.8354835121795566,0.9000103011785389,0.8354835121795566,0.7606432641548373,0.7965968370433013,0.7606432641548373
2054,30.92121829804615,27.653312575808258,83.16451446609048,30.68762237029375,27.64501381635075,83.16418758794335,30.77020456791664,27.405097721343125,83.16418562669219,19.91340054673344,17.463976053932207,53.07098318386822,25.612629490404238,24.95439628660927,69.21939152087111,23.178841768390956,21.72056474681338,62.20490606017598,0.6346763138849626,0.6204190328937453,0.6346763138849627,0.8309759194338517,0.8983606405798766,0.830975919433852,0.7448577776139133,0.782489924306124,0.7448577776139133
2055,27.957614803786104,24.054350503725413,83.12566150445201,27.527724260530885,24.218588525071834,83.12566333694005,27.795034013201885,23.69480084666852,83.1256631822525,17.49274881791701,14.745508879197837,51.44733121508663,22.86249992437398,21.836015597267295,68.81243560016338,20.52760186416527,18.48518581209775,60.8785776677209,0.6154755230215495,0.6003603793609646,0.6154755230215496,0.8264683266881468,0.8967109799812145,0.8264683266881467,0.7292701422257835,0.7685593277562093,0.7292701422257836
2056,25.31077228668946,21.315612941540223,83.07972294590519,25.43760264718616,21.532222645499832,83.0797280160155,25.07499292446722,20.91912560465889,83.07972786673608,15.390446348049789,12.684402225187508,49.872263170272575,21.020166311378404,19.391332611245605,68.39972998554362,18.156109205125436,16.06212686646043,59.56443484388691,0.5968918671490875,0.5809464008570074,0.5968918671490875,0.821960733942442,0.8950613193825524,0.821960733942442,0.713878370101587,0.7548032777878638,0.7138783701015871
2057,23.603647752162768,20.11038467938765,83.0337891870001,22.831638013011492,19.28463550420784,83.03379269509095,23.03901125004203,19.298301085155185,83.03379255121968,14.163938666714527,11.798869986269535,49.11991428270665,18.836315779102407,17.374999936761252,68.20910933734234,16.537974810830224,14.698635673946523,58.94042482221292,0.588185973851667,0.5718356415080368,0.5881859738516672,0.8201167187282896,0.894807252958025,0.8201167187282897,0.7067689737632292,0.7475908778738145,0.7067689737632292
2058,20.952486032189398,17.510453141149316,82.98786916269175,19.86290571118931,16.149779656553097,82.98785737416641,20.367583627031753,16.688145569962224,82.98785723570325,12.4249501978387,10.154523035618789,48.38968685736008,16.532286163773318,14.819196040409022,67.92666520453939,14.504999467241921,12.626429885365326,58.323355592137965,0.5797455394748383,0.5630027393554745,0.5797455394748384,0.8141690042815347,0.8938261175497233,0.8141690042815348,0.69974712021744,0.74046728718445,0.6997471202174401
2059,18.31289595010814,14.905744454768326,82.9425989336906,17.292912694633475,13.50838201447609,82.94192205324184,17.735245237250886,14.091053714347778,82.94192192018684,10.742107833082331,8.557543874250793,47.682065711251056,14.336209456734364,12.444124029119374,67.39513647692432,12.538170960890803,10.602246402432076,57.71413486842633,0.5715631694540261,0.5544399536633371,0.5715631694540262,0.8082212898347796,0.8928449821414215,0.8082212898347795,0.6928119359187903,0.7334316195447891,0.6928119359187904
2060,15.58543256258194,12.234266049310326,82.89669351012024,14.515777656688536,10.808368266139166,82.8959867323173,14.975011251713587,11.407684178743471,82.89598660467043,9.05654532269269,6.971492812822216,46.99813287013733,12.001582774513274,10.017141100248384,66.86625075848384,10.520394067381158,8.551566390942629,57.116154211686826,0.5636737005568195,0.5461871425657108,0.5636737005568195,0.8023471809407611,0.8918073470163795,0.8023471809407611,0.6860290197861123,0.7265494613585003,0.6860290197861123
2061,12.564381806801798,9.409602687176598,82.85492510786449,11.294707764405727,9.897204643480762,82.85420601662224,11.775252137053002,9.22017795911611,82.85420589265449,7.256555864715989,5.352749242641838,46.333468164170256,9.358896198641569,9.203494852651799,66.3423097501905,8.248257530650593,6.902071962572183,56.523822157172525,0.5559341337295296,0.538096985942899,0.5559341337295296,0.7963081763193314,0.8906189556307906,0.7963081763193315,0.6791822624811423,0.7196008407403596,0.6791822624811423
