Year,Target CO2 emissions [kg],Target CO2 RF [mW m-2],"CO2 RF [mW m-2] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","CO2 RF [mW m-2] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","CO2 RF [mW m-2] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","CO2 RF [mW m-2] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","CO2 RF [mW m-2] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","CO2 RF [mW m-2] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","CO2 RF [mW m-2] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","CO2 RF [mW m-2] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","CO2 RF [mW m-2] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","CO2 emissions [kg] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC","Total RF [mW m-2] - breakthrough AC technology with high growth, ReFuelEU extended, no H2 AC","Total RF [mW m-2] - breakthrough AC technology with high growth, ReFuelEU extended, with H2 AC","Total RF [mW m-2] - breakthrough AC technology with high growth, no ReFuelEU, no H2 AC","Total RF [mW m-2] - business-as-usual AC technology with degrowth, ReFuelEU extended, no H2 AC","Total RF [mW m-2] - business-as-usual AC technology with degrowth, ReFuelEU extended, with H2 AC","Total RF [mW m-2] - business-as-usual AC technology with degrowth, no ReFuelEU, no H2 AC","Total RF [mW m-2] - optimistic AC technology with low growth, ReFuelEU extended, no H2 AC","Total RF [mW m-2] - optimistic AC technology with low growth, ReFuelEU extended, with H2 AC","Total RF [mW m-2] - optimistic AC technology with low growth, no ReFuelEU, no H2 AC"
2053,0.0,2.571766936641152,4.850481666094154,4.720034418598998,6.290211339810682,2.4563806978567575,2.4425816206530966,3.0087503846337222,3.5878795132235695,3.5504734595449405,4.547135711386256,73275711948.2644,64938735431.53657,181088246854.24017,28061185612.313805,27477429205.695156,68893767583.46489,47856350303.587944,45299730031.34206,117883630535.71976,13.902813181615093,13.576334209279675,23.76850566907582,5.310014487298442,5.367696766357655,8.394550967474467,8.820327492173766,8.817644969036857,14.521548475645634
2054,0.0,2.543659813717419,4.879695353814882,4.739473677465189,6.459483228328923,2.46203079889898,2.4474974013958786,3.0687999516071613,3.6021503739318703,3.561303388416067,4.652307920135049,67285739549.14148,59009336024.734535,179322479038.4881,25343133402.9062,24691826128.881565,68491065083.28849,43303104611.115425,40578726790.67253,116212258635.01802,13.766688320050163,13.458005026988488,24.287296331456282,5.21495152850161,5.270995655453997,8.452279438844613,8.673995814848066,8.675926176626167,14.683773482496154
2055,0.0,2.517421349535084,4.900261146480275,4.748400394212716,6.62532592932997,2.4644097355179198,2.448537862761645,3.1280170219136902,3.610671814249614,3.564587679834741,4.754473506872024,60406901073.42715,50919984355.501144,177660691269.88376,22621940700.16972,21606257041.152847,68088391152.77846,38618463429.719086,34776077449.27333,114530530203.74304,13.621207494950447,13.331752146800367,24.809700714529168,5.119336203191607,5.1726347561716315,8.509096092118499,8.52445040102435,8.529248692566787,14.842709837277887
2056,0.0,2.4927544727240294,4.9136075281552305,4.750292555549517,6.787832901981856,2.465067776293756,2.4468970893208684,3.1864001474438197,3.6142774214332443,3.5629466151496,4.853699911544951,54316353687.64002,44766114120.3274,176010456376.58493,20798992121.450073,19187297009.51008,67680028026.63571,34396086367.606636,30429113237.00705,112842648288.85498,13.468519594460233,13.201301836418098,25.335900767606372,5.025006596234219,5.074577856053517,8.565004657482302,8.37301855674257,8.38092339480473,14.998513557022742
2057,0.0,2.4694231323704146,4.924594664088931,4.751810934676696,6.951834081514619,2.4633654589741907,2.4432814014168884,3.2443316454967865,3.6153033908313685,3.559682967302193,4.952239687002488,51087461760.32944,42556970446.02237,177169063043.57217,18638120064.47469,17192180187.42665,67491413088.89483,31549903932.417557,28040951129.4532,112442107461.60548,13.324526759629016,13.074950703061726,25.88072195526474,4.932127322777878,4.97825807258422,8.621187034655025,8.227137320937304,8.23487995803599,15.15801163442881
2058,0.0,2.4472392415749225,4.92945472354215,4.747589411183266,7.117176872520732,2.459088578380976,2.4367370178112018,3.3016445530817506,3.6121958382275405,3.5522188472303413,5.050023479757195,45801092836.481064,37431800116.62849,178375003906.8743,16358333448.758093,14663268459.671837,67211940833.25722,27865247370.408524,24256367120.55148,112043763580.79584,13.177898284754423,12.95124902324872,26.436586619639616,4.8387930774166845,4.883964453761318,8.675825696664413,8.08174809282334,8.090842942293039,15.317611492894226
2059,0.0,2.4260524301768553,4.928114980141574,4.737493340579343,7.283764363004883,2.452425791554621,2.427589477972522,3.357922306672773,3.6050726441958143,3.5406066353108425,5.147004519551479,40468917479.33563,32238974161.691914,179633421344.94177,14185363860.830605,12313186956.08498,66686004850.914116,24255422472.785316,20510325345.993496,111649516364.98764,13.028117016094285,12.831615580923875,27.002871801900763,4.746005595144182,4.791309938240496,8.729205106589568,7.936716307124642,7.950271459604774,15.476948103900321
2060,0.0,2.4057420017943842,4.92014402102159,4.721179584396164,7.451548927855531,2.443144399285457,2.415756083251117,3.4131984589724293,3.593671208512797,3.5246623626306177,5.243162430966078,34869485580.40088,26841622213.43541,180952080294.31805,11875302120.559845,9911740741.59157,66162684068.003075,20494443703.537544,16659033383.515148,111266155959.24849,12.87487809802986,12.71739920726572,27.57959518482249,4.653626778474207,4.70063654240375,8.781465462968294,7.791761926270026,7.8140843522000525,15.63596961115802
2061,0.0,2.3862106205758327,4.904385429875086,4.698037317271808,7.620487639877484,2.430746429088352,2.403957634407427,3.4675066425900978,3.5770733120574603,3.5056425543717453,5.338469638596232,28553832947.985397,21062541312.47322,182317635876.46512,9260421892.839462,9106655679.812197,65644255966.998985,16180644248.801613,13539825907.593788,110883038570.15958,12.997245574073503,12.832463952219781,28.166730740134476,4.631338943795431,4.682034513474815,8.832616101859713,7.785290517081783,7.806088474818476,15.794534416104003
2062,0.0,2.367379355254836,4.891038316802078,4.677158666248838,7.790555139693996,2.419171374816955,2.3928777209982166,3.5208517389691907,3.5619021035659513,3.4880174954055354,5.4328966613156755,28173876688.708084,20597632063.764572,183727102418.83768,8938258021.371353,8794334976.571056,65115704448.70515,15724638346.373032,13090337382.75005,110493436485.97264,13.12543893632543,12.953240181395618,28.764496387202595,4.609818842509267,4.664065881624057,8.882700025244455,7.7804044882414445,7.7995443015100125,15.952661447763896
